algorithm,algorithm_label,wall_count,mean_cagr,min_cagr,mean_sharpe,min_sharpe,worst_drawdown,mean_calmar,mean_rank_ic,mean_ic_positive,mean_turnover,mean_monthly_win
ic_positive,历史正IC加权,5,0.2673788511617092,0.1542501580152251,1.210337009898326,0.7393074333596031,-0.2785673649076459,1.7213762680947682,0.2241287899775295,0.6538945150709857,4.744506196849835,0.6783838383838383
ic_signed,历史IC有符号加权,5,0.2673788511617092,0.1542501580152251,1.210337009898326,0.7393074333596031,-0.2785673649076459,1.7213762680947682,0.2241287899775295,0.6538945150709857,4.744506196849835,0.6783838383838383
equal_z,等权Z分数,5,0.263157716060923,0.1542987369442607,1.1935659210352294,0.7392025214975834,-0.2785673649076483,1.702252189846131,0.2348746404544724,0.6477081088845795,4.802403724842289,0.6753535353535354
rank_vote,Rank投票,5,0.2610623862041273,0.1580001867508809,1.187076265825335,0.7524585639339488,-0.263118477169362,1.6621140738862448,0.2284359351484447,0.6818798630563336,4.903465634225785,0.6783838383838383
pca1,监督定向PCA1,5,0.2585671442663818,0.1541868683590053,1.1794548204963238,0.7388015825420632,-0.2677889772104858,1.6164573310694323,0.2288834850179388,0.6893973999856353,5.215755521591058,0.6686868686868687
ridge,Ridge,5,0.2168746302642949,0.1255262225034383,1.063405325151329,0.6406497436452484,-0.2785673649076446,1.3890541480442429,0.0936801113607836,0.6144901721372309,6.570804097875035,0.6554593554593555
winsor_ridge,Winsorized Ridge,5,0.2161872608503662,0.1255262225034383,1.060778390094378,0.6406497436452484,-0.2785673649076462,1.38658663210189,0.0876679971133752,0.6057276927865163,6.619500856642847,0.6524290524290525
elastic_net,Elastic Net,5,0.2250898562259763,0.127358761435637,1.05975528666986,0.6413364149711419,-0.2785673649076462,1.4432184812621764,0.1363670801653995,0.6404836122483182,6.423110271311364,0.6513708513708514
lasso,Lasso,5,0.2238778146727877,0.1270669444275873,1.0511456292445238,0.640442565126939,-0.2785673649076462,1.4389821946345247,0.1521772469671629,0.6471440542028778,6.48143970804265,0.6524963924963926
