period,start,end,sample_days,component,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_only,0.04721780918123808,0.20310072343497484,0.32872638983685587,-0.3650914744609206,0.1293314483745697,0.5072463768115942,6.075276752767528
development,2020-10-12,2022-12-30,540,ranking_only,-0.012300822324579075,0.20229716299563835,0.039961406785858154,-0.2921197375222234,-0.04210883670139979,0.5925925925925926,6.533333333333333
seen_holdout,2023-01-03,2026-06-18,815,ranking_only,0.08861580375143019,0.20371847151102365,0.5185827793833729,-0.2883398566705323,0.3073310945447471,0.4523809523809524,5.771779141104294
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_plus_trend,0.20333799778947936,0.22620556452750523,0.9318909782298913,-0.21619131186138196,0.9405465744148687,0.6376811594202898,5.703321033210332
development,2020-10-12,2022-12-30,540,ranking_plus_trend,0.1673747387399933,0.2593000070294717,0.7270681068071283,-0.2048244759743545,0.8171618061942453,0.6666666666666666,5.9111111111111105
seen_holdout,2023-01-03,2026-06-18,815,ranking_plus_trend,0.22777455476697606,0.20147042794894188,1.119542037389148,-0.1373210591734848,1.658700829558973,0.6190476190476191,5.565644171779141
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_plus_inverse_vol,0.035348437736313354,0.19596042235653593,0.2752914401877279,-0.35330110502060286,0.10005187426247082,0.5217391304347826,7.371875970412539
development,2020-10-12,2022-12-30,540,ranking_plus_inverse_vol,-0.025375118001000896,0.19695080020567277,-0.03204066438350869,-0.28210709400877343,-0.08994852855494566,0.5185185185185185,7.639017178339301
seen_holdout,2023-01-03,2026-06-18,815,ranking_plus_inverse_vol,0.07765198464961887,0.19538194208037823,0.48044811595448095,-0.26783631412088615,0.289923287305138,0.5238095238095238,7.194874433872103
full_walk_forward,2020-10-12,2026-06-18,1355,complete_base,0.20063677812507597,0.2222974154658024,0.9341503246780601,-0.21870128814308676,0.9174009893979592,0.6086956521739131,6.663441014429135
development,2020-10-12,2022-12-30,540,complete_base,0.1555245401488281,0.2532686277966729,0.6979847646647009,-0.21870128814308676,0.7111276822799285,0.5925925925925926,7.303138092605188
seen_holdout,2023-01-03,2026-06-18,815,complete_base,0.23149294770122442,0.19929822631687621,1.1446193389556323,-0.13231873587298304,1.7495099705565647,0.6190476190476191,6.2395926436131
full_walk_forward,2020-10-12,2026-06-18,1355,complete_plus_amount,0.18244585095582,0.2184374761810963,0.8767571599103489,-0.2187012881430871,0.834223943100204,0.6376811594202898,7.634353918260418
development,2020-10-12,2022-12-30,540,complete_plus_amount,0.11528378713484733,0.2532465233884597,0.5579553533386201,-0.2187012881430871,0.5271289808746895,0.6296296296296297,7.161917532762594
seen_holdout,2023-01-03,2026-06-18,815,complete_plus_amount,0.22915874410550452,0.19206914703438438,1.170353590456017,-0.12828578598599016,1.7863143788239368,0.6428571428571429,7.947379253436891
