chapter,claim,figure_or_table,source,status
因子筛选,27候选因子不是越多越好，需要先看IC稳定性和冗余度,assets/figures/rep_factor_ic_redundancy.png,mvp_cn\outputs\factor_candidates\candidate_ic_vs_redundancy.png,copied
因子筛选,完整因子管道从候选、去冗余、LASSO到POOS逐步收束,assets/figures/rep_factor_pipeline_final.png,mvp_cn\outputs\final_report\figures\factor_pipeline_final.png,copied
LASSO与正则化,LASSO筛选后仍需Ridge/POOS验证，不能把筛选频率当经济真理,assets/figures/rep_lasso_ridge_poos.png,mvp_cn\outputs\final_report\figures\lasso_ridge_poos.png,copied
ETF宇宙,8ETF/12ETF和细分方案没有稳定压过6ETF宽口径,assets/figures/rep_8etf_vs_6etf.png,mvp_cn\outputs\final_report\figures\8etf_vs_6etf_comparison.png,copied
POOS走步,代表性POOS走步图揭示墙前/墙后分离后的路径差异,assets/figures/rep_poos_8etf_walkforward.png,mvp_cn\outputs\final_report\figures\poos_8etf_walkforward.png,copied
新增维度,宏观、业绩预期等新维度未稳定带来增量,assets/figures/rep_new_dimensions_poos.png,mvp_cn\outputs\final_report\figures\new_dimensions_poos.png,copied
频率探索,高频/周频提高响应但放大换手和噪声,assets/figures/rep_high_freq_sharpe_heatmap.png,mvp_cn\outputs\high_freq_adaptive\figures\sharpe_heatmap.png,copied
风险覆盖,风险overlay改变暴露，但不自动改善核心问题,assets/figures/rep_overlay_sharpe_heatmap.png,mvp_cn\outputs\risk_overlay_tests\figures\overlay_sharpe_heatmap.png,copied
180MA,180MA相对200MA改善，提示A股行业趋势周期可能更短,assets/figures/rep_why_180_beats_200.png,mvp_cn\outputs\ma180_final\figures\why_180_beats_200.png,copied
多墙审计,不同墙日期下，方案稳定性比单点最优更重要,assets/figures/rep_scheme_wall_sharpe_heatmap.png,mvp_cn\outputs\adaptive_wall_factor_report\figures\scheme_wall_sharpe_heatmap.png,copied
算法比较,等权、投票和IC加权算法并不弱于回归类模型,assets/figures/rep_algorithm_summary_sharpe.png,mvp_cn\outputs\algorithm_comparison_tests\figures\algorithm_summary_sharpe.png,copied
因子搜索,严格候选因子搜索需要区分旧方案和新方案的路径差异,assets/figures/rep_old_new_equity_compare_2023.png,mvp_cn\outputs\factor_model_search\figures\old_new_equity_compare_2023.png,copied
关键结果,最终收束版必须和沪深300、6ETF等权同时比较，才能看出它是趋势beta择时而非纯alpha,assets/figures/deep_final_vs_benchmarks.png,mvp_cn/outputs/final_converged_compare/daily_returns.csv,generated
POOS与截点敏感性,半年评价墙显示结果受截点影响，不能只报单一墙后Sharpe,assets/figures/deep_halfyear_wall_sensitivity.png,mvp_cn/outputs/final_converged_compare/daily_returns.csv,generated
市场状态依赖,策略表现依赖大盘所处状态；此图适合放在限制与反思，而不是作为主结果,assets/figures/deep_market_regime_comparison.png,mvp_cn/outputs/final_converged_compare/daily_returns.csv,generated
关键结果,主结果应展示相对沪深300和6ETF等权的累计超额收益，以及滚动一年超额何时成立,assets/figures/deep_excess_over_benchmark.png,mvp_cn/outputs/final_converged_compare/daily_returns.csv,generated
规格搜索,去重后的90组规格显示，最稳的结果集中在低维ETF宇宙和收缩后的因子集合,assets/figures/deep_final_90_spec_summary.png,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,generated
探索迭代,必须同时展示调仓日、ETF池、算法窗口、最终版本、简单集成和规格矩阵中的代表版本,assets/figures/deep_key_version_comparison.png,多个核心metrics.csv汇总,generated
三条反思,因子、ETF和交易频次都不是越多越好，复杂度增加会被噪声、共线性和成本吞噬,assets/figures/deep_not_more_triptych.png,多张核心CSV汇总,generated
简单集成,等权Z分数、Rank投票和IC加权的表现强，说明简单集成在弱信号环境中很有竞争力,assets/figures/deep_algorithm_equal_weight_surprise.png,mvp_cn/outputs/algorithm_comparison_tests/algorithm_summary.csv,generated
多墙审计,多墙热力图用于评价横向稳定性，而不是寻找单一最好格子,assets/figures/deep_wall_scheme_heatmap.png,mvp_cn/outputs/adaptive_wall_factor_report/adaptive_wall_scheme_metrics.csv,generated
机制拆解,趋势过滤主要承担风险暴露控制，因子排序更多负责相对选择,assets/figures/deep_component_decomposition.png,mvp_cn/outputs/factor_model_search/component_ablation_compact_ridge.csv,generated
训练窗口,滚动窗口和扩展窗口回答不同问题，窗口选择本身构成规格风险,assets/figures/deep_training_window_diagram.png,conceptual diagram based on model_comparison/training_window_robustness.csv,generated
