wall,series,days,cagr,ann_vol,sharpe,max_drawdown,total_return
2019-01-01,策略,1774,0.19702023977178484,0.22629906536023903,0.9081666829906905,-0.2404588702992111,2.5465796816474944
2019-01-01,沪深300,1774,0.09453878788040337,0.19419361617391778,0.5621683703931878,-0.4215702301031268,0.8887517850133271
2019-01-01,6ETF等权,1774,0.12566499504074913,0.18726183006287295,0.7260090992727657,-0.26043866758190626,1.3009340604745554
2019-07-01,策略,1661,0.19672879934134024,0.2234576868214321,0.9158934319971366,-0.24045887029921076,2.266562598120961
2019-07-01,沪深300,1661,0.056232329960152816,0.18914801701617856,0.38373307120855826,-0.42157023010312544,0.43418438442470175
2019-07-01,6ETF等权,1661,0.09563461071324086,0.18251529230176528,0.5919009893967268,-0.26043866758190637,0.8257765115863649
2020-01-01,策略,1536,0.19639352777884445,0.22943846611858498,0.8967119322263964,-0.24045887029921054,1.9830525650951785
2020-01-01,沪深300,1536,0.05209146453103819,0.193228128298747,0.3593236200997303,-0.42157023010312455,0.3627660842213014
2020-01-01,6ETF等权,1536,0.09102843230038582,0.18618811832006613,0.5612346080359186,-0.26043866758190626,0.7006691982298612
2020-07-01,策略,1419,0.18279110277141375,0.22642420503171248,0.8549666020561842,-0.24045887029921142,1.573604173213894
2020-07-01,沪深300,1419,0.0486415509125635,0.18835176705879686,0.3460258929687354,-0.4215702301031272,0.30662211338090284
2020-07-01,6ETF等权,1419,0.08543928622793207,0.1804620701399071,0.5445332374568961,-0.2604386675819055,0.5866936347362106
2021-01-01,策略,1297,0.17193863504414764,0.22535535364053486,0.816969682676054,-0.24045887029921154,1.262774855279151
2021-01-01,沪深300,1297,0.010601404426300531,0.18183929417879127,0.14879773011455952,-0.4215702301031262,0.05577635760096511
2021-01-01,6ETF等权,1297,0.058431700489584015,0.1755076085534156,0.411400426264938,-0.2604386675819046,0.3394771964701253
2021-07-01,策略,1179,0.17361680020378367,0.2267695509047401,0.8195907421022974,-0.24045887029921087,1.1148708139222618
2021-07-01,沪深300,1179,0.010187686020393105,0.1787913313741514,0.1459328559583097,-0.3606887528460674,0.048565103253366715
2021-07-01,6ETF等权,1179,0.0459758173982634,0.1760989194416742,0.3433626369759533,-0.26043866758190437,0.234051844322809
2022-01-01,策略,1055,0.158781000274129,0.22706202930269506,0.7627411075100577,-0.2404588702992112,0.8532850641621528
2022-01-01,沪深300,1055,0.02304321716920965,0.1811978155110924,0.21612518119451019,-0.3292847639727232,0.1000722947538133
2022-01-01,6ETF等权,1055,0.045108385303827214,0.17890166602222513,0.3360990089027762,-0.21377334390911973,0.2028710415039412
2022-07-01,策略,938,0.17164374302607865,0.21105854941010704,0.8560417858620633,-0.21647800422354246,0.8033184568563572
2022-07-01,沪深300,938,0.051919673319618775,0.17468384500297773,0.37679858405088956,-0.2684518233830082,0.2073245685823275
2022-07-01,6ETF等权,938,0.0615240127355392,0.17255068319585773,0.43217951927637155,-0.1947780544332688,0.2488680715185292
2023-01-01,策略,815,0.2582877603100191,0.2036949062242213,1.229821211019744,-0.152288543322179,1.1023310294323885
2023-01-01,沪深300,815,0.10409221805496016,0.17467125130549324,0.6540428625624259,-0.2256240588347289,0.3774782786552784
2023-01-01,6ETF等权,815,0.09968888802052422,0.17307427666187186,0.635531936595787,-0.1924639375335474,0.35979015473754594
2023-07-01,策略,699,0.29109660025485296,0.21123846730251683,1.3152045189326018,-0.15228854332217912,1.0313202731332232
2023-07-01,沪深300,699,0.12188330871570274,0.1806338303765225,0.7268077487503272,-0.2046285828539196,0.3757685237420936
2023-07-01,6ETF等权,699,0.10981744878389721,0.1794838211294104,0.6702010060135966,-0.16384249466458156,0.33511654095995547
2024-01-01,策略,589,0.3445655963252723,0.22095850244090928,1.4506150828992401,-0.15228854332217912,0.9977213005206695
2024-01-01,沪深300,589,0.19833012453789856,0.1872482080892362,1.0598439863863613,-0.162511330056185,0.5263598182160736
2024-01-01,6ETF等权,589,0.14642749901848284,0.18791512685703207,0.8211253999848073,-0.1638424946645819,0.3762929659028327
2024-07-01,策略,472,0.3009349418036593,0.22965203392756633,1.260435298273965,-0.15228854332217878,0.6368259897864323
2024-07-01,沪深300,472,0.2388251948049307,0.19752132420667404,1.1830479266794378,-0.1625113300561848,0.4935138736731237
2024-07-01,6ETF等权,472,0.18840377971178324,0.19226693658563246,0.9940522093332701,-0.16384249466458112,0.38168425183353216
2025-01-01,策略,351,0.27486148588721915,0.1889892152621408,1.3803405095804218,-0.12160015699693438,0.4024742442134719
2025-01-01,沪深300,351,0.20730484101513946,0.1554261576661009,1.290434009944348,-0.1007545313059175,0.300047774445916
2025-01-01,6ETF等权,351,0.1670171304736705,0.15109538245582135,1.0988105408815572,-0.10496937115224325,0.24002088660712584
2025-07-01,策略,233,0.3381802716229674,0.19900500237816512,1.5640862482299571,-0.12160015699693394,0.3091090403410346
2025-07-01,沪深300,233,0.30846338003586227,0.1556970787498706,1.8051299958018094,-0.07602103919776615,0.28220693249078677
2025-07-01,6ETF等权,233,0.22206152703535342,0.14426318491640713,1.4627031031472624,-0.08646925591482946,0.20372292205218878
