regime,series,days,cagr,ann_vol,sharpe,max_drawdown,total_return
熊市,策略,481,-0.04285966442475375,0.23752943014116823,-0.06548961742535439,-0.28972485986082874,-0.08021231744600865
熊市,沪深300,481,-0.11913004822892748,0.1943907696675306,-0.5555821302089726,-0.3346018888597786,-0.2150328491603416
熊市,6ETF等权,481,-0.12153275986540357,0.1888593676061705,-0.591694150225494,-0.2918961425115548,-0.21911460715543696
震荡,策略,558,0.09378915493376305,0.2202433030605731,0.5176211570847847,-0.22633886234889267,0.21957957678105222
震荡,沪深300,558,-0.043066523479954766,0.19692465920723365,-0.12488292667253419,-0.2448229935567785,-0.09287585379832797
震荡,6ETF等权,558,0.017142346500370387,0.1922737803280826,0.1849985898968511,-0.2246752052617501,0.03835359692517981
牛市,策略,568,0.3196625105180533,0.22291898119050668,1.3556657324134898,-0.2001513047868434,0.8686136011893628
牛市,沪深300,568,0.23176233292775028,0.19127018269118282,1.1856131858098922,-0.12605553414127935,0.5997230491330925
牛市,6ETF等权,568,0.280302718300631,0.18629085697323106,1.4201361342200454,-0.13443357584054239,0.7453372026120384
急涨,策略,214,0.7470720763585974,0.2042903895954756,2.8357559163948567,-0.09227510935835714,0.606097436277871
急涨,沪深300,214,0.6994788195625934,0.21263837760286272,2.6010716354512504,-0.10468668947414261,0.5688651020798539
急涨,6ETF等权,214,0.5940755884262958,0.17629701083054064,2.7342239459292683,-0.06358207330896515,0.4858393408247099
