strategy,ticker,arithmetic_return_contribution,absolute_contribution_share,average_weight
complete_base,sh510150,0.0758716471113091,0.0648296053677153,0.03361866694252024
complete_base,sh510170,0.22758418956372573,0.1944625398167803,0.10046450906617262
complete_base,sh510230,0.19695762693139202,0.16829323883520375,0.08941499599076665
complete_base,sz159929,0.003592652045760883,0.003069792514303759,0.054996585229815834
complete_base,sz159930,0.561270355125923,0.479585418437388,0.1729316257533783
complete_base,sh512330,0.105047591522794,0.08975940502860906,0.0786988126354997
complete_plus_amount,sh510150,0.05583782628692677,0.051163689078697845,0.04657233391562418
complete_plus_amount,sh510170,0.05110668484390602,0.04682858748405126,0.0949223580752492
complete_plus_amount,sh510230,0.2694317185686079,0.24687781730520136,0.09156146245669868
complete_plus_amount,sz159929,0.046446039978954454,0.04255808125855299,0.04113345610276185
complete_plus_amount,sz159930,0.5611571779003383,0.5141831851913347,0.17850620512781695
complete_plus_amount,sh512330,0.10737708461032275,0.09838863968216188,0.0774293799400025
